                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     49,                 1.3218,                 1.4186,                 1.2319,                0.52868,                0.28889,                0.29565,                0.11484,                 2.2366,                 3.6139,                 2.5989,              0.0012709,              0.0012709,              0.0012709
                     50,                 1.2606,                 1.2589,                 1.1835,                 0.4793,                0.32222,                0.30064,                0.13737,                 2.0714,                  3.313,                  2.399,              0.0012627,              0.0012627,              0.0012627
                     51,                 1.2858,                 1.2228,                 1.1241,                 0.7095,                 0.2852,                0.36172,                 0.1268,                 2.0105,                 3.0724,                 2.4453,              0.0012544,              0.0012544,              0.0012544
                     52,                 1.2617,                 1.1811,                  1.122,                0.30461,                0.41111,                0.34578,                0.14807,                 1.9193,                 3.0501,                 2.3186,              0.0012462,              0.0012462,              0.0012462
                     53,                 1.2294,                 1.1904,                 1.1314,                0.30461,                0.41111,                0.34578,                0.14807,                 1.9193,                 3.0501,                 2.3186,              0.0012379,              0.0012379,              0.0012379
                     54,                 1.2128,                 1.0953,                 1.1114,                 0.4433,                0.25556,                0.27061,                0.11239,                 2.0816,                 3.3274,                 2.3836,              0.0012297,              0.0012297,              0.0012297
                     55,                 1.2538,                 1.1589,                 1.1114,                0.32988,                0.30552,                0.20106,                0.10561,                 1.9487,                 3.0951,                 2.2169,              0.0012214,              0.0012214,              0.0012214
                     56,                 1.1773,                 1.2338,                 1.1762,                 0.3056,                    0.4,                0.25143,                0.14245,                 2.0046,                 3.1254,                 2.2162,              0.0012132,              0.0012132,              0.0012132
                     57,                 1.1968,                 1.0621,                 1.0946,                 0.3056,                    0.4,                0.25143,                0.14245,                 2.0046,                 3.1254,                 2.2162,              0.0012049,              0.0012049,              0.0012049
                     58,                 1.3359,                  1.171,                   1.17,                0.41514,                 0.3646,                0.33626,                0.15867,                 1.9788,                 2.8853,                 2.2026,              0.0011967,              0.0011967,              0.0011967
                     59,                 1.1932,                 1.1148,                 1.1193,                0.31457,                 0.4007,                0.32672,                0.16648,                 1.8457,                 2.7134,                 2.1005,              0.0011884,              0.0011884,              0.0011884
                     60,                 1.1463,                  1.058,                 1.0988,                0.31665,                0.42063,                0.28711,                0.16155,                 1.8331,                 2.7563,                 2.0906,              0.0011802,              0.0011802,              0.0011802
                     61,                 1.1622,                 1.0367,                 1.0759,                0.31665,                0.42063,                0.28711,                0.16155,                 1.8331,                 2.7563,                 2.0906,              0.0011719,              0.0011719,              0.0011719
                     62,                 1.2275,                 1.1188,                 1.0993,                0.62179,                0.23333,                 0.2616,                0.15743,                 1.9269,                 2.9729,                 2.3074,              0.0011636,              0.0011636,              0.0011636
                     63,                 1.1639,                 1.0631,                 1.0777,                0.43821,                0.28889,                 0.1995,                0.07252,                 2.0639,                 3.2829,                 2.3356,              0.0011554,              0.0011554,              0.0011554
                     64,                 1.1074,                0.99272,                 1.0778,                0.35556,                0.28975,                0.17284,                0.08632,                 2.1056,                 3.2753,                 2.3933,              0.0011471,              0.0011471,              0.0011471
                     65,                 1.1057,                 1.1302,                 1.0841,                0.35556,                0.28975,                0.17284,                0.08632,                 2.1056,                 3.2753,                 2.3933,              0.0011389,              0.0011389,              0.0011389
